"","Team","variable","value","rescale"
"1","Uruguay","Titles",15,1
"2","Argentina","Titles",14,0.857142857142857
"3","Brasil","Titles",8,0
"4","Uruguay","Match",43,1
"5","Argentina","Match",41,0.75
"6","Brasil","Match",35,0
"7","Uruguay","Points",358,0.393939393939394
"8","Argentina","Points",398,1
"9","Brasil","Points",332,0
"10","Uruguay","Points_1",182,0
"11","Argentina","Points_1",211,1
"12","Brasil","Points_1",187,0.172413793103448
"13","Uruguay","Performance",4.10396480559909,0
"14","Argentina","Performance",4.25120585074233,1
"15","Brasil","Performance",4.12987256828125,0.175954759469082
